id,createdTime,Name,Seat,MembershipStatus,LastDuesDate,AgeBracket,EmergencyContactPhone,Season
rec-cr-001,2026-01-15T09:00:00.000Z,Danny Kahananui,1,Active,2026-10-01,45-54,(808) 555-0387,2026
rec-cr-002,2026-01-15T09:05:00.000Z,Marcus Reyes,2,Lapsed,2026-02-12,45-54,(808) 555-0156,2026
rec-cr-003,2026-01-15T09:10:00.000Z,Chris Allen,3,Active,2026-10-01,45-54,(808) 555-0241,2026
rec-cr-004,2026-01-15T09:15:00.000Z,Joe Ferrara,4,Active,2026-10-01,55-64,(808) 555-0429,2026
rec-cr-005,2026-01-15T09:20:00.000Z,Patrick Yamamoto,5,Active,2026-10-01,45-54,(808) 555-0512,2026
rec-cr-006,2026-01-15T09:25:00.000Z,Tane Makoa,6,Active,2026-10-01,45-54,(808) 555-0673,2026
rec-cr-007,2025-10-06T08:00:00.000Z,Marcus Reyes,2,Active,2025-10-05,45-54,(808) 555-0156,2025
rec-cr-008,2025-10-06T08:05:00.000Z,Kai Lau,4,Active,2025-10-05,45-54,(808) 555-0291,2025
rec-cr-009,2024-10-09T08:00:00.000Z,Danny Kahananui,1,Active,2024-10-08,45-54,(808) 555-0387,2024
rec-cr-010,2026-01-15T09:30:00.000Z,Marcus Reyna,2,Active,2026-10-01,45-54,(808) 555-0399,2026
rec-cr-011,2026-01-15T09:35:00.000Z,Kenji Watanabe,4,Suspended,2025-01-10,55-64,(808) 555-0844,2026
rec-cr-012,2026-01-15T09:40:00.000Z,Sam Rodrigues,6,Active,2026-10-01,55-64,(808) 555-0712,2026
rec-cr-013,2026-01-15T09:45:00.000Z,Leilani Akana,5,Active,2026-10-01,35-44,(808) 555-0556,2026
rec-cr-014,2026-01-15T09:50:00.000Z,Alan Higa,1,Active,2026-10-01,55-64,(808) 555-0334,2026
rec-cr-015,2026-01-15T09:55:00.000Z,Ben Kaneakua,4,Active,2026-10-01,45-54,(808) 555-0571,2026
