id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-001,cal-koakai,Koa Kai Time Trial - Crew Selection,Masters Men crew selection for Kaiwi Channel Relay. Seat assignments TBD after results.,"Ala Wai Canal, Honolulu, HI 96815",2026-10-03T06:00:00-10:00,2026-10-03T07:30:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-002,cal-palmside,Quarterly Review - Peggy Thornton,Q4 ownership performance review.,Zoom,2026-10-14T14:00:00-10:00,2026-10-14T15:30:00-10:00,False,confirmed,c.allen@palmside-honolulu.com,peggy.thornton@palmside-corp.com,,private
evt-003,cal-koakai,Koa Kai Time Trial - Crew Selection,2025 Masters Men crew selection.,"Ala Wai Canal, Honolulu, HI 96815",2025-10-05T06:00:00-10:00,2025-10-05T07:30:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-004,cal-koakai,Koa Kai Time Trial - Crew Selection,2024 Masters Men crew selection.,"Ala Wai Canal, Honolulu, HI 96815",2024-10-07T06:00:00-10:00,2024-10-07T07:30:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-005,cal-koakai,Windward District Championships,2025 season. Completed.,"Kailua Beach, Oahu",2025-10-25T07:30:00-10:00,2025-10-25T16:00:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-006,cal-koakai,Koa Kai Practice - Monday,Regular Monday morning club paddle. Ends at 06:00.,"Ala Wai Canal, Honolulu, HI 96815",2026-10-03T05:00:00-10:00,2026-10-03T06:00:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-007,cal-palmside,GM Staff Briefing – Palmside Honolulu,Weekly leadership roundup.,Palmside Resort Honolulu – Conference Room B,2026-10-05T08:00:00-10:00,2026-10-05T09:30:00-10:00,False,confirmed,c.allen@palmside-honolulu.com,c.allen@palmside-honolulu.com,FREQ=WEEKLY;BYDAY=MO,private
evt-008,cal-personal,Dinner – Leilani,,"MW Restaurant, Honolulu",2026-10-04T19:00:00-10:00,2026-10-04T21:00:00-10:00,False,confirmed,c.allen@gmail.com,c.allen@gmail.com,,private
evt-009,cal-koakai,Kaiwi Channel Relay,"OC6 relay race, Molokai to Oahu.",Kaiwi Channel,2026-10-17T07:00:00-10:00,2026-10-17T17:00:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-010,cal-palmside,VIP Arrival – Watanabe Group,"16-room block, comp breakfast.",Palmside Resort Honolulu – Grand Lobby,2026-10-06T15:00:00-10:00,2026-10-06T16:00:00-10:00,False,confirmed,c.allen@palmside-honolulu.com,c.allen@palmside-honolulu.com,,private
evt-011,cal-koakai,Post-Race Debrief – Koa Kai Masters,Results review and seat discussion.,Ala Wai Canoe Club,2026-10-03T10:00:00-10:00,2026-10-03T11:00:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-012,cal-personal,Dentist – Dr. Nakamura,Annual check-up.,"Punchbowl Dental, Honolulu",2026-10-09T11:00:00-10:00,2026-10-09T12:00:00-10:00,False,confirmed,c.allen@gmail.com,c.allen@gmail.com,,private
evt-013,cal-koakai,Moloka'i Hoe OC6,Annual men's OC6 race.,Molokai Channel,2026-10-11T07:30:00-10:00,2026-10-11T18:00:00-10:00,False,confirmed,koakai.schedule@gmail.com,koakai.schedule@gmail.com,,private
evt-014,cal-palmside,Health & Safety Walk-Through,Monthly facility safety inspection with F&B director.,Palmside Resort Honolulu,2026-10-08T10:00:00-10:00,2026-10-08T11:30:00-10:00,False,confirmed,c.allen@palmside-honolulu.com,c.allen@palmside-honolulu.com,,private
